name,latitude,longitude,free_bikes,empty_slots,total_bikes
19 St & 24 Ave,40.7774552,-73.9225403,11,8,19
23 Ave & 27 St,40.776165,-73.9153175,9,12,21
37 St & 24 Ave,40.7701477,-73.9120938,9,8,17
24 Ave & 29 St,40.7729,-73.916142,31,11,42
W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,22,9,31
W 89 St & Columbus Ave,40.7882213,-73.97041561,30,15,45
Leonard Gordon Park,40.74590996631558,-74.0572714805603,11,3,14
Astor Place,40.71928220070702,-74.07126188278198,7,7,14
Morningside Dr & Amsterdam Ave,40.81028506306003,-73.95736455917358,4,31,35
W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,3,56,59
Bergen Ave,40.722103786686034,-74.07145500183105,8,3,11
E 60 St & York Ave,40.759107,-73.959223,23,4,27
E 84 St & Park Ave,40.77862688,-73.95772073,39,4,43
E 81 St & 3 Ave,40.77573034,-73.9567526,26,16,42
5 Corners Library,40.734961020009514,-74.0595030784607,12,5,17
Dean St & Franklin Ave,40.67759206937376,-73.955637216568,16,5,21
Lincoln Park,40.7246050998869,-74.07840594649315,12,5,17
E 67 St & Park Ave,40.76780080148132,-73.96592080593109,13,26,39
W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,4,28,32
Lawrence St & Willoughby St,40.69236178,-73.98631746,13,25,38
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,31,8,39
Vesey Pl & River Terrace,40.7153379,-74.01658354,0,56,56
DeKalb Ave & Hudson Ave,40.689888,-73.981013,21,49,70
Watts St & Greenwich St,40.72405549,-74.00965965,31,2,33
Lenox Ave & W 117 St,40.8025566,-73.9490782,14,13,27
W 120 St & Claremont Ave,40.8109494,-73.9634,12,26,38
E 128 St & Madison Ave,40.80756,-73.939182,19,0,19
E 66 St & Madison Ave,40.76800889305947,-73.96845281124115,1,24,25
3 St & Prospect Park West,40.668132,-73.97363831,20,1,21
W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,14,20,34
Amsterdam Ave & W 66 St,40.7746671,-73.98470567,3,14,17
E 102 St & 1 Ave,40.7869946,-73.94164802,18,3,21
Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,9,9,18
Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,10,8,18
Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,6,10,16
Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,13,5,18
Greene Ave & Throop Ave,40.6894932,-73.942061,14,5,19
Greene Ave & Nostrand Ave,40.6883337,-73.950916,5,17,22
Marcy Ave & Lafayette Ave,40.6900815,-73.947915,19,1,20
Putnam Ave & Throop Ave,40.6851532,-73.94111,10,10,20
Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,15,8,23
Riverside Dr & W 78 St,40.78414472,-73.98362492,29,45,74
Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307,24,22,46
40 Ave & Crescent St,40.753599202005596,-73.93795609474182,1,21,22
Pleasant Ave & E 120 St,40.7974772,-73.9311847,11,2,13
1 Ave & E 110 St,40.7923272,-73.9383,16,7,23
E 115 St & Lexington Ave,40.797911,-73.9423,8,16,24
E 48 St & 3 Ave,40.7546011026,-73.971878855,17,49,66
31 St & Northern Blvd,40.75186951421875,-73.93349289894103,16,19,35
E 2 St & Avenue A,40.72307749068673,-73.98583620786667,22,11,33
21 St & 43 Ave,40.75052534,-73.94594845,16,11,27
Queens Plaza North & Crescent St,40.75110165,-73.94073717,0,36,36
48 Ave & 5 St,40.744363287066875,-73.9558732509613,71,7,78
Jackson Ave & 46 Rd,40.74524768,-73.94733276,9,15,24
44 Dr & Jackson Ave,40.74718234,-73.9432635,18,16,34
46 Ave & 5 St,40.74731,-73.95451,31,6,37
45 Rd & 11 St,40.74708586,-73.94977234,14,7,21
Steinway St & 23 Ave,40.7713937,-73.9077436,12,5,17
E 23 St & 1 Ave,40.736502,-73.97809472,7,19,26
Lenox Ave & W 130 St,40.8107922,-73.9430681,23,1,24
Court St & State St,40.6902375,-73.99203074,21,5,26
5 St & 6 Ave,40.6704836,-73.98208968,9,12,21
7 St & 5 Ave,40.6704922,-73.98541675,22,2,24
Barrow St & Hudson St,40.73172428,-74.00674436,27,16,43
Clinton St & Union St,40.6831164,-73.99785267,21,15,36
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,21,3,24
Barclay St & Church St,40.71291224,-74.01020234,6,28,34
E 6 St & Avenue D,40.72228087,-73.97668709,37,6,43
Forsyth St & Canal St,40.7158155,-73.99422366,21,4,25
Pacific St & Nevins St,40.6853761,-73.98302136,12,4,16
Front St & Gold St,40.70224,-73.982578,31,4,35
Fulton St & Broadway,40.711066,-74.009447,22,26,48
Washington Ave & Park Ave,40.69610226,-73.96751037,51,0,51
Allen St & Stanton St,40.722055,-73.989111,25,22,47
Norfolk St & Broome St,40.7172274,-73.98802084,49,2,51
South St & Gouverneur Ln,40.70355377,-74.00670227,36,5,41
Marin Light Rail,40.71458403535893,-74.04281705617905,0,25,25
Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,5,8,13
Columbus Drive,40.71835519823214,-74.03891444206238,7,7,14
Jersey & 3rd,40.72333158646436,-74.04595255851744,2,12,14
Manila & 1st,40.721650724879986,-74.04288411140442,7,11,18
Jersey & 6th St,40.72528910781132,-74.04557168483734,5,9,14
Monmouth and 6th,40.72568548362901,-74.04879033565521,6,4,10
Dixon Mills,40.721630142638354,-74.04996782541275,5,12,17
Sterling Pl & Bedford Ave,40.672695,-73.954131,4,17,21
W 15 St & 10 Ave,40.742753828659026,-74.00747358798981,31,26,57
Crescent St & 34 Ave,40.76108,-73.930562,25,1,26
Prospect Pl & Underhill Ave,40.6769694,-73.96579,14,8,22
34 Ave & 21 St,40.7628138,-73.9342862,20,1,21
2 Ave & 36 St,40.65708866668485,-74.00870203971863,19,24,43
35 St & 34 Ave,40.7580583,-73.9242751,9,16,25
34 Ave & 38 St,40.756913,-73.921631,10,21,31
Vernon Blvd & 10 St,40.7671863,-73.9373554,40,1,41
Washington Pl & 6 Ave,40.73224119,-74.00026394,28,41,69
Lafayette Ave & Classon Ave,40.68900443,-73.96023854,21,6,27
Douglass St & 4 Ave,40.6792788,-73.98154004,45,3,48
William St & Pine St,40.70717936,-74.00887308,24,32,56
Degraw St & Hoyt St,40.681990442707026,-73.99079024791718,16,8,24
2 Ave & E 96 St,40.7839636,-73.9471673,37,7,44
Centre St & Worth St,40.71494807,-74.00234482,8,65,73
Centre St & Chambers St,40.71273266,-74.0046073,27,28,55
W 26 St & 10 Ave,40.749717753,-74.002950346,7,40,47
6 Ave & 12 St,40.6663181,-73.9854617,18,8,26
1 Ave & E 94 St,40.7817212,-73.94594,32,6,38
Henry St & Degraw St,40.6847514,-73.99917254,21,1,22
10 St & 5 Ave,40.6686273,-73.98700053,20,2,22
14 St & 5 Ave,40.666287,-73.98895053,13,7,20
21 St & Queens Plaza North,40.75325964,-73.94335788,16,18,34
Vernon Blvd & 47 Rd,40.7449067,-73.9534573,23,5,28
30 Ave & 21 St,40.7703743,-73.9286078,6,8,14
Center Blvd & 48 Ave,40.745038,-73.957539,21,5,26
Crescent St & 30 Ave,40.768692,-73.9249574,7,15,22
Steinway St & 28 Ave,40.7656251,-73.9136695,13,12,25
28 Ave & 35 St,40.7671,-73.9169858,15,12,27
27 St & Hunter St,40.7485,-73.941275,19,8,27
Newtown Ave & 23 St,40.7713615,-73.9246145,18,9,27
DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,15,1,16
Stagg St & Morgan Ave,40.710681,-73.93372,14,9,23
White St & Moore St,40.704508,-73.9351,18,2,20
Columbia St & Kane St,40.68763155,-74.0016256,18,2,20
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,15,8,23
South St & Whitehall St,40.70122128,-74.01234218,41,13,54
MacDougal St & Washington Sq,40.73226398,-73.99852205,18,10,28
Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,35,18,53
Columbus Ave & W 72 St,40.7770575,-73.97898475,29,36,65
Mott St & Prince St,40.72317958,-73.99480012,31,7,38
Lispenard St & Broadway,40.71939226,-74.00247214,53,9,62
W 11 St & 6 Ave,40.73532427,-73.99800419,25,16,41
W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,37,22,59
5 Ave & 3 St,40.6728155,-73.98352355,14,11,25
E 82 St & East End Ave,40.7724607,-73.9468208,12,17,29
Carroll St & 5 Ave,40.6751622,-73.9814832,22,4,26
3 St & 7 Ave,40.6703837,-73.97839676,23,2,25
West End Ave & W 107 St,40.8021174,-73.9681805305,11,18,29
5 Ave & E 103 St,40.7922553,-73.95249933,8,23,31
E 102 St & Park Ave,40.7904828,-73.95033068,33,0,33
6 Ave & W 33 St,40.74901271,-73.98848395,39,15,54
Broadway & W 51 St,40.76228826,-73.98336183,5,71,76
FDR Drive & E 35 St,40.744219,-73.97121214,74,40,114
W 25 St & 6 Ave,40.74395411,-73.99144871,16,28,44
E 47 St & 2 Ave,40.75323098,-73.97032517,59,35,94
2 Ave & E 72 St,40.7687620293096,-73.95840793848038,17,33,50
W 104 St & Amsterdam Ave,40.799041392882984,-73.96649479866028,38,5,43
Grand St,40.71517767732029,-74.03768330812454,1,16,17
E 77 St & 3 Ave,40.77314236,-73.95856158,6,40,46
E 27 St & 1 Ave,40.739445,-73.976806,28,56,84
Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286,18,7,25
Crescent St & Ditmars Blvd,40.7787185,-73.9145645,6,12,18
St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,29,0,29
Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,17,14,31
W 116 St & Broadway,40.8082,-73.9641,18,22,40
W 116 St & Amsterdam Ave,40.8067581,-73.9607082,5,24,29
W 110 St & Amsterdam Ave,40.802692,-73.96295,29,16,45
Lenox Ave & W 111 St,40.7987859,-73.9523,23,11,34
Paulus Hook,40.7141454,-74.0335519,5,9,14
City Hall,40.7177325,-74.043845,6,14,20
Warren St,40.7211236,-74.03805095,16,4,20
Graham Ave & Withers St,40.7169811,-73.94485918,13,4,17
E 4 St & 2 Ave,40.7262807,-73.98978041,55,21,76
Carroll St & Washington Ave,40.6686744,-73.9618148,13,10,23
Lexington Ave & E 120 St,40.8013066,-73.9398167,26,2,28
Pacific St & Classon Ave,40.6791944,-73.9587903,12,8,20
Broadway & Moylan Pl,40.8143256,-73.9590255,38,2,40
Morningside Ave & W 123 St,40.81,-73.9551508,27,4,31
3 Ave & E 62 St,40.76312584,-73.96526895,8,37,45
Baldwin at Montgomery,40.7236589,-74.0641943,1,10,11
47 Ave & 31 St,40.743,-73.93561,15,12,27
5 Ave & E 72 St,40.77282817,-73.96685276,0,0,0
Bayard St & Baxter St,40.71602118,-73.99974372,27,13,40
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,41,21,62
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,24,2,26
Clinton St & Grand St,40.71559509,-73.9870295,53,15,68
Christopher St & Greenwich St,40.73291553,-74.00711384,41,23,64
Columbia Heights & Cranberry St,40.70037867,-73.99548059,5,29,34
W 16 St & The High Line,40.74334935,-74.00681753,4,53,57
W 129 St & Convent Ave,40.814394437915816,-73.95324736833572,9,19,28
George St & Wilson Ave,40.702997,-73.92997,16,3,19
Cambridge Pl & Gates Ave,40.68488,-73.96304,9,8,17
W 106 St & Central Park West,40.7981856,-73.9605909006,43,13,56
Clinton St & Centre St,40.67434,-74.00194698,4,16,20
3 Ave & E 100 St,40.7877214,-73.94728331,20,4,24
Kingston Ave & Herkimer St,40.67890679,-73.94142771,22,2,24
Degraw St & Smith St,40.6829151,-73.99318208,23,3,26
Lewis Ave & Decatur St,40.6814598,-73.934903,13,5,18
Fulton St & Utica Ave,40.6794268,-73.9298911,0,18,18
Albany Ave & Fulton St,40.6800105,-73.938475,15,12,27
Halsey St & Tompkins Ave,40.6823687,-73.944118,18,3,21
Monroe St & Classon Ave,40.6845683,-73.95881081,12,4,16
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,19,5,24
Broadway & E 14 St,40.73454567,-73.99074142,12,79,91
Willoughby Ave & Wyckoff Ave,40.705614,-73.92153,11,10,21
Cedar St & Myrtle Ave,40.697842,-73.926241,19,8,27
3 Ave & Carroll St,40.677027,-73.9865,17,0,17
Wyckoff Av & Jefferson St,40.707165,-73.923711,16,11,27
Bushwick Ave & McKibbin St,40.705517,-73.93936,13,8,21
Bushwick Ave & Stagg St,40.709897,-73.94008,9,12,21
White St & Johnson Ave,40.707174,-73.93581,13,10,23
Montgomery St,40.71942,-74.05099,7,5,12
E 75 St & 3 Ave,40.77112927,-73.95772297,15,24,39
Washington Park,40.6917823,-73.9737299,10,9,19
Johnson St & Gold St,40.69474881,-73.98362464,33,7,40
Broad St & Bridge St,40.70365182,-74.01167797,11,35,46
Broadway & W 36 St,40.75097711,-73.98765428,41,24,65
Stanton St & Chrystie St,40.72229346,-73.99147535,34,13,47
35 Ave & 10 St,40.76315481910373,-73.93985509872437,25,0,25
Broadway & W 25 St,40.74286877312112,-73.98918628692627,6,87,93
Journal Square,40.73367,-74.0625,0,17,17
1 Ave & E 30 St,40.74144387,-73.97536082,5,32,37
S 5 Pl & S 5 St,40.710451,-73.960876,33,8,41
Forsyth St & Broome St,40.71893904,-73.99266288,4,59,63
11 Ave & W 59 St,40.77149671054441,-73.99046033620834,17,0,17
34 St & 35 Ave,40.7569332,-73.9262231,5,13,18
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,47,6,53
Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,29,10,39
21 St & 38 Ave,40.7576314,-73.9391224,13,3,16
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,20,26,46
W 59 St & 10 Ave,40.770513,-73.988038,92,6,98
Bus Slip & State St,40.701907,-74.013942,55,9,64
West St & Chambers St,40.71754834,-74.01322069,71,40,111
St James Pl & Oliver St,40.71307916,-73.99851193,30,17,47
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,28,11,39
E 2 St & Avenue B,40.72217444,-73.98368779,53,28,81
Avenue D & E 3 St,40.72082834,-73.97793172,38,14,52
Mercer St & Spring St,40.72362738,-73.99949601,32,32,64
Canal St & Rutgers St,40.71427487,-73.98990025,34,9,43
Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,66,19,85
