name,latitude,longitude,address,review_count,rating,categories,distance,url
Wolf at Nordstrom NYC,40.7667405590595,-73.9790689945221,"225 W 57th St, New York, NY 10019",117,4.5,Italian,191.31359305060357,https://www.yelp.com/biz/wolf-at-nordstrom-nyc-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Murray's Cheese Bar,40.751047,-73.93797,"28-30 Jackson Ave, Long Island City, NY 11101",870,4.0,Wine Bars,294.4541386818059,https://www.yelp.com/biz/murrays-cheese-bar-long-island-city-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Carla,40.751047,-73.93797,"25-03 40th Avenue, Long Island City, NY 11101",166,4.5,American (New),275.65525131954166,https://www.yelp.com/biz/carla-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
House of Thai,40.751047,-73.93797,"2501 40th Ave, Long Island City, NY 11101",355,4.0,Thai,276.1776360658652,https://www.yelp.com/biz/house-of-thai-long-island-city-4?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Kyuramen - Long Island City,40.751047,-73.93797,"27-17 42nd Rd, Long Island City, NY 11101",194,4.0,Ramen,257.8594094298081,https://www.yelp.com/biz/kyuramen-long-island-city-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
John Brown BBQ,40.751047,-73.93797,"27-20 40th Ave, Long Island City, NY 11101",161,4.0,Barbeque,203.40129626487519,https://www.yelp.com/biz/john-brown-bbq-long-island-city-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Da Long Yi Hot Pot,40.751047,-73.93797,"42-22 Crescent St, Long Island City, NY 11101",156,5.0,Szechuan,302.0377344885264,https://www.yelp.com/biz/da-long-yi-hot-pot-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
THE HUNTRESS whiskey n' wings,40.751047,-73.93797,"24-03 41st Ave, Long island City, NY 11101",237,4.0,Chicken Wings,227.46407539131962,https://www.yelp.com/biz/the-huntress-whiskey-n-wings-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Ooi Sushi and Bar,40.751047,-73.93797,"42-36 Crescent St, Long Island City, NY 11101",313,4.5,Sushi Bars,325.606313698513,https://www.yelp.com/biz/ooi-sushi-and-bar-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Hot Peppers,40.751047,-73.93797,"28-21 Steinway St, Long Island City, NY 11103",138,4.5,Halal,375.42779915269915,https://www.yelp.com/biz/hot-peppers-long-island-city-5?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Sapps,40.751047,-73.93797,"27-26 Jackson Ave, Long Island City, NY 11101",289,4.0,Japanese,417.97815577794944,https://www.yelp.com/biz/sapps-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Raj's Indian Kitchen,40.751047,-73.93797,"42-12 28th St, Long Island City, NY 11101",350,4.0,Indian,212.0040621489997,https://www.yelp.com/biz/rajs-indian-kitchen-long-island-city-28?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
The Beast Next Door,40.751047,-73.93797,"42-51 27th St, Long Island City, NY 11101",264,4.0,American (New),338.36007008504714,https://www.yelp.com/biz/the-beast-next-door-long-island-city-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Roam Cafe & Gallery,40.751047,-73.93797,"41-14 27th St, Long Island City, NY 11101",79,4.5,Cafes,107.78481802482057,https://www.yelp.com/biz/roam-cafe-and-gallery-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
LIC Bagel & Deli,40.751047,-73.93797,"41-04 27th St, Long Island City, NY 11101",53,4.0,Delis,87.74544365433954,https://www.yelp.com/biz/lic-bagel-and-deli-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Sami's Kabab House,40.751047,-73.93797,"35-57 Crescent St, Astoria, NY 11106",547,4.5,Afghan,922.5858083923489,https://www.yelp.com/biz/samis-kabab-house-astoria?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Suzuki Shokudo,40.751047,-73.93797,"38-01 31st St, Long Island City, NY 11101",205,4.5,Sushi Bars,581.5813682351578,https://www.yelp.com/biz/suzuki-shokudo-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Tranquili Tea,40.751047,-73.93797,"4126 27th St, Ste 1, Long Island City, NY 11101",18,5.0,Dim Sum,98.05457251531082,https://www.yelp.com/biz/tranquili-tea-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Beebe's,40.751047,-73.93797,"38-28 27th St, Boro Hotel, Long Island City, NY 11101",173,4.0,Pizza,455.60084170844954,https://www.yelp.com/biz/beebes-long-island-city-4?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Lotus + Cleaver,40.751047,-73.93797,"28-17 Jackson Ave, Long Island City, NY 11101",76,4.0,Chinese,233.45594105218987,https://www.yelp.com/biz/lotus-cleaver-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Beija Flor,40.751047,-73.93797,"38-02 29th St, Long Island City, NY 11101",292,4.0,Brazilian,538.9015579732473,https://www.yelp.com/biz/beija-flor-long-island-city?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Melba's Restaurant,40.801694,-73.957145,"300 W 114th St, New York, NY 10026",1764,4.0,Southern,163.97708271427945,https://www.yelp.com/biz/melbas-restaurant-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
BLVD Bistro,40.801694,-73.957145,"2149 Frederick Douglass Blvd, New York, NY 10026",1402,4.0,American (Traditional),320.3185459630538,https://www.yelp.com/biz/blvd-bistro-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
LoLo's Seafood Shack,40.801694,-73.957145,"303 W 116th St, New York, NY 10026",826,4.0,Seafood,367.96748681377017,https://www.yelp.com/biz/lolos-seafood-shack-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
The Calaveras,40.801694,-73.957145,"949 Columbus Ave, New York, NY 10025",233,4.5,Bars,500.32039836434507,https://www.yelp.com/biz/the-calaveras-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Lido,40.801694,-73.957145,"2168 Frederick Douglass Blvd, New York, NY 10026",1201,4.0,Italian,414.23168469685174,https://www.yelp.com/biz/lido-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Lalibela Ethiopian Restaurant,40.801694,-73.957145,"2084 Frederick Douglass Blvd, New York, NY 10026",39,4.0,Ethiopian,77.40316848701328,https://www.yelp.com/biz/lalibela-ethiopian-restaurant-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Row House,40.801694,-73.957145,"2128 Frederick Douglass Blvd, New York, NY 10026",454,3.5,American (New),239.44003348355272,https://www.yelp.com/biz/row-house-new-york-6?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
VeganHood,40.801694,-73.957145,"2100 Frederick Douglass Blvd, New York, NY 10026",96,4.5,Food Delivery Services,148.99917842871855,https://www.yelp.com/biz/veganhood-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Saiguette,40.801694,-73.957145,"935 Columbus Ave, New York, NY 10025",731,4.5,Vietnamese,560.7029312671234,https://www.yelp.com/biz/saiguette-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Harlem Tavern,40.801694,-73.957145,"2153 Frederick Douglass Blvd, New York, NY 10026",1412,3.5,Pubs,361.1076216086801,https://www.yelp.com/biz/harlem-tavern-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
67 Orange Street,40.801694,-73.957145,"2082 Frederick Douglas Blvd, New York, NY 10026",438,4.0,Lounges,70.81984442684981,https://www.yelp.com/biz/67-orange-street-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Nobody Told Me,40.801694,-73.957145,"951 Amsterdam Ave, New York, NY 10025",240,4.5,Cocktail Bars,684.6415366407346,https://www.yelp.com/biz/nobody-told-me-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Harlem Biscuit Company,40.801694,-73.957145,"2099 Frederick Douglas Blvd, New York, NY 10026",211,4.5,Breakfast & Brunch,123.10786839478222,https://www.yelp.com/biz/harlem-biscuit-company-new-york-4?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Arco Cafe,40.801694,-73.957145,"886 Amsterdam Ave, New York, NY 10025",353,4.5,Sardinian,910.929165885536,https://www.yelp.com/biz/arco-cafe-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Cafe Amrita,40.801694,-73.957145,"301 W 110th St, New York, NY 10025",309,3.5,Cafes,156.52545321438217,https://www.yelp.com/biz/cafe-amrita-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Osteria Laura,40.801694,-73.957145,"1890 Adam Clayton Powell Jr Blvd, New York, NY 10026",52,4.5,Italian,323.79894799281954,https://www.yelp.com/biz/osteria-laura-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
La Savane,40.801694,-73.957145,"239 W 116th St, New York, NY 10026",97,4.0,African,374.6220634607654,https://www.yelp.com/biz/la-savane-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
